Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53.00,No,Travel_Rarely,1219.00,Sales,2.00,4.00,Life Sciences,1.00,23.00,1.00,Female,78.00,2.00,4.00,Manager,4.00,Married,15427.00,22021.00,2.00,Y,No,16.00,3.00,3.00,80.00,0.00,31.00,3.00,3.00,25.00,8.00,3.00,7.00
38.00,No,Travel_Rarely,371.00,Research & Development,2.00,3.00,Life Sciences,1.00,24.00,4.00,Male,45.00,3.00,1.00,Research Scientist,4.00,Single,3944.00,4306.00,5.00,Y,Yes,11.00,3.00,3.00,80.00,0.00,6.00,3.00,3.00,3.00,2.00,1.00,2.00
24.00,No,Non-Travel,673.00,Research & Development,11.00,2.00,Other,1.00,26.00,1.00,Female,96.00,4.00,2.00,Manufacturing Director,3.00,Divorced,4011.00,8232.00,0.00,Y,No,18.00,3.00,4.00,80.00,1.00,5.00,5.00,2.00,4.00,2.00,1.00,3.00
36.00,Yes,Travel_Rarely,1218.00,Sales,9.00,4.00,Life Sciences,1.00,27.00,3.00,Male,82.00,2.00,1.00,Sales Representative,1.00,Single,3407.00,6986.00,7.00,Y,No,23.00,4.00,2.00,80.00,0.00,10.00,4.00,3.00,5.00,3.00,0.00,3.00
34.00,No,Travel_Rarely,419.00,Research & Development,7.00,4.00,Life Sciences,1.00,28.00,1.00,Female,53.00,3.00,3.00,Research Director,2.00,Single,11994.00,21293.00,0.00,Y,No,11.00,3.00,3.00,80.00,0.00,13.00,4.00,3.00,12.00,6.00,2.00,11.00
21.00,No,Travel_Rarely,391.00,Research & Development,15.00,2.00,Life Sciences,1.00,30.00,3.00,Male,96.00,3.00,1.00,Research Scientist,4.00,Single,1232.00,19281.00,1.00,Y,No,14.00,3.00,4.00,80.00,0.00,0.00,6.00,3.00,0.00,0.00,0.00,0.00
34.00,Yes,Travel_Rarely,699.00,Research & Development,6.00,1.00,Medical,1.00,31.00,2.00,Male,83.00,3.00,1.00,Research Scientist,1.00,Single,2960.00,17102.00,2.00,Y,No,11.00,3.00,3.00,80.00,0.00,8.00,2.00,3.00,4.00,2.00,1.00,3.00
53.00,No,Travel_Rarely,1282.00,Research & Development,5.00,3.00,Other,1.00,32.00,3.00,Female,58.00,3.00,5.00,Manager,3.00,Divorced,19094.00,10735.00,4.00,Y,No,11.00,3.00,4.00,80.00,1.00,26.00,3.00,2.00,14.00,13.00,4.00,8.00
32.00,Yes,Travel_Frequently,1125.00,Research & Development,16.00,1.00,Life Sciences,1.00,33.00,2.00,Female,72.00,1.00,1.00,Research Scientist,1.00,Single,3919.00,4681.00,1.00,Y,Yes,22.00,4.00,2.00,80.00,0.00,10.00,5.00,3.00,10.00,2.00,6.00,7.00
42.00,No,Travel_Rarely,691.00,Sales,8.00,4.00,Marketing,1.00,35.00,3.00,Male,48.00,3.00,2.00,Sales Executive,2.00,Married,6825.00,21173.00,0.00,Y,No,11.00,3.00,4.00,80.00,1.00,10.00,2.00,3.00,9.00,7.00,4.00,2.00
44.00,No,Travel_Rarely,477.00,Research & Development,7.00,4.00,Medical,1.00,36.00,1.00,Female,42.00,2.00,3.00,Healthcare Representative,4.00,Married,10248.00,2094.00,3.00,Y,No,14.00,3.00,4.00,80.00,1.00,24.00,4.00,3.00,22.00,6.00,5.00,17.00
46.00,No,Travel_Rarely,705.00,Sales,2.00,4.00,Marketing,1.00,38.00,2.00,Female,83.00,3.00,5.00,Manager,1.00,Single,18947.00,22822.00,3.00,Y,No,12.00,3.00,4.00,80.00,0.00,22.00,2.00,2.00,2.00,2.00,2.00,1.00
33.00,No,Travel_Rarely,924.00,Research & Development,2.00,3.00,Medical,1.00,39.00,3.00,Male,78.00,3.00,1.00,Laboratory Technician,4.00,Single,2496.00,6670.00,4.00,Y,No,11.00,3.00,4.00,80.00,0.00,7.00,3.00,3.00,1.00,1.00,0.00,0.00
44.00,No,Travel_Rarely,1459.00,Research & Development,10.00,4.00,Other,1.00,40.00,4.00,Male,41.00,3.00,2.00,Healthcare Representative,4.00,Married,6465.00,19121.00,2.00,Y,Yes,13.00,3.00,4.00,80.00,0.00,9.00,5.00,4.00,4.00,2.00,1.00,3.00
30.00,No,Travel_Rarely,125.00,Research & Development,9.00,2.00,Medical,1.00,41.00,4.00,Male,83.00,2.00,1.00,Laboratory Technician,3.00,Single,2206.00,16117.00,1.00,Y,No,13.00,3.00,1.00,80.00,0.00,10.00,5.00,3.00,10.00,0.00,1.00,8.00
39.00,Yes,Travel_Rarely,895.00,Sales,5.00,3.00,Technical Degree,1.00,42.00,4.00,Male,56.00,3.00,2.00,Sales Representative,4.00,Married,2086.00,3335.00,3.00,Y,No,14.00,3.00,3.00,80.00,1.00,19.00,6.00,4.00,1.00,0.00,0.00,0.00
24.00,Yes,Travel_Rarely,813.00,Research & Development,1.00,3.00,Medical,1.00,45.00,2.00,Male,61.00,3.00,1.00,Research Scientist,4.00,Married,2293.00,3020.00,2.00,Y,Yes,16.00,3.00,1.00,80.00,1.00,6.00,2.00,2.00,2.00,0.00,2.00,0.00
43.00,No,Travel_Rarely,1273.00,Research & Development,2.00,2.00,Medical,1.00,46.00,4.00,Female,72.00,4.00,1.00,Research Scientist,3.00,Divorced,2645.00,21923.00,1.00,Y,No,12.00,3.00,4.00,80.00,2.00,6.00,3.00,2.00,5.00,3.00,1.00,4.00
50.00,Yes,Travel_Rarely,869.00,Sales,3.00,2.00,Marketing,1.00,47.00,1.00,Male,86.00,2.00,1.00,Sales Representative,3.00,Married,2683.00,3810.00,1.00,Y,Yes,14.00,3.00,3.00,80.00,0.00,3.00,2.00,3.00,3.00,2.00,0.00,2.00
35.00,No,Travel_Rarely,890.00,Sales,2.00,3.00,Marketing,1.00,49.00,4.00,Female,97.00,3.00,1.00,Sales Representative,4.00,Married,2014.00,9687.00,1.00,Y,No,13.00,3.00,1.00,80.00,0.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00
36.00,No,Travel_Rarely,852.00,Research & Development,5.00,4.00,Life Sciences,1.00,51.00,2.00,Female,82.00,2.00,1.00,Research Scientist,1.00,Married,3419.00,13072.00,9.00,Y,Yes,14.00,3.00,4.00,80.00,1.00,6.00,3.00,4.00,1.00,1.00,0.00,0.00
33.00,No,Travel_Frequently,1141.00,Sales,1.00,3.00,Life Sciences,1.00,52.00,3.00,Female,42.00,4.00,2.00,Sales Executive,1.00,Married,5376.00,3193.00,2.00,Y,No,19.00,3.00,1.00,80.00,2.00,10.00,3.00,3.00,5.00,3.00,1.00,3.00
35.00,No,Travel_Rarely,464.00,Research & Development,4.00,2.00,Other,1.00,53.00,3.00,Male,75.00,3.00,1.00,Laboratory Technician,4.00,Divorced,1951.00,10910.00,1.00,Y,No,12.00,3.00,3.00,80.00,1.00,1.00,3.00,3.00,1.00,0.00,0.00,0.00
27.00,No,Travel_Rarely,1240.00,Research & Development,2.00,4.00,Life Sciences,1.00,54.00,4.00,Female,33.00,3.00,1.00,Laboratory Technician,1.00,Divorced,2341.00,19715.00,1.00,Y,No,13.00,3.00,4.00,80.00,1.00,1.00,6.00,3.00,1.00,0.00,0.00,0.00
26.00,Yes,Travel_Rarely,1357.00,Research & Development,25.00,3.00,Life Sciences,1.00,55.00,1.00,Male,48.00,1.00,1.00,Laboratory Technician,3.00,Single,2293.00,10558.00,1.00,Y,No,12.00,3.00,3.00,80.00,0.00,1.00,2.00,2.00,1.00,0.00,0.00,1.00
27.00,No,Travel_Frequently,994.00,Sales,8.00,3.00,Life Sciences,1.00,56.00,4.00,Male,37.00,3.00,3.00,Sales Executive,3.00,Single,8726.00,2975.00,1.00,Y,No,15.00,3.00,4.00,80.00,0.00,9.00,0.00,3.00,9.00,8.00,1.00,7.00
30.00,No,Travel_Frequently,721.00,Research & Development,1.00,2.00,Medical,1.00,57.00,3.00,Female,58.00,3.00,2.00,Laboratory Technician,4.00,Single,4011.00,10781.00,1.00,Y,No,23.00,4.00,4.00,80.00,0.00,12.00,2.00,3.00,12.00,8.00,3.00,7.00
41.00,Yes,Travel_Rarely,1360.00,Research & Development,12.00,3.00,Technical Degree,1.00,58.00,2.00,Female,49.00,3.00,5.00,Research Director,3.00,Married,19545.00,16280.00,1.00,Y,No,12.00,3.00,4.00,80.00,0.00,23.00,0.00,3.00,22.00,15.00,15.00,8.00
34.00,No,Non-Travel,1065.00,Sales,23.00,4.00,Marketing,1.00,60.00,2.00,Male,72.00,3.00,2.00,Sales Executive,3.00,Single,4568.00,10034.00,0.00,Y,No,20.00,4.00,3.00,80.00,0.00,10.00,2.00,3.00,9.00,5.00,8.00,7.00
37.00,No,Travel_Rarely,408.00,Research & Development,19.00,2.00,Life Sciences,1.00,61.00,2.00,Male,73.00,3.00,1.00,Research Scientist,2.00,Married,3022.00,10227.00,4.00,Y,No,21.00,4.00,1.00,80.00,0.00,8.00,1.00,3.00,1.00,0.00,0.00,0.00
46.00,No,Travel_Frequently,1211.00,Sales,5.00,4.00,Marketing,1.00,62.00,1.00,Male,98.00,3.00,2.00,Sales Executive,4.00,Single,5772.00,20445.00,4.00,Y,Yes,21.00,4.00,3.00,80.00,0.00,14.00,4.00,3.00,9.00,6.00,0.00,8.00
35.00,No,Travel_Rarely,1229.00,Research & Development,8.00,1.00,Life Sciences,1.00,63.00,4.00,Male,36.00,4.00,1.00,Laboratory Technician,4.00,Married,2269.00,4892.00,1.00,Y,No,19.00,3.00,4.00,80.00,0.00,1.00,2.00,3.00,1.00,0.00,0.00,1.00
48.00,Yes,Travel_Rarely,626.00,Research & Development,1.00,2.00,Life Sciences,1.00,64.00,1.00,Male,98.00,2.00,3.00,Laboratory Technician,3.00,Single,5381.00,19294.00,9.00,Y,Yes,13.00,3.00,4.00,80.00,0.00,23.00,2.00,3.00,1.00,0.00,0.00,0.00
28.00,Yes,Travel_Rarely,1434.00,Research & Development,5.00,4.00,Technical Degree,1.00,65.00,3.00,Male,50.00,3.00,1.00,Laboratory Technician,3.00,Single,3441.00,11179.00,1.00,Y,Yes,13.00,3.00,3.00,80.00,0.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00
44.00,No,Travel_Rarely,1488.00,Sales,1.00,5.00,Marketing,1.00,68.00,2.00,Female,75.00,3.00,2.00,Sales Executive,1.00,Divorced,5454.00,4009.00,5.00,Y,Yes,21.00,4.00,3.00,80.00,1.00,9.00,2.00,2.00,4.00,3.00,1.00,3.00
35.00,No,Non-Travel,1097.00,Research & Development,11.00,2.00,Medical,1.00,70.00,3.00,Male,79.00,2.00,3.00,Healthcare Representative,1.00,Married,9884.00,8302.00,2.00,Y,Yes,13.00,3.00,3.00,80.00,1.00,10.00,3.00,3.00,4.00,0.00,2.00,3.00
26.00,No,Travel_Rarely,1443.00,Sales,23.00,3.00,Marketing,1.00,72.00,3.00,Female,47.00,2.00,2.00,Sales Executive,4.00,Married,4157.00,21436.00,7.00,Y,Yes,19.00,3.00,3.00,80.00,1.00,5.00,2.00,2.00,2.00,2.00,0.00,0.00
33.00,No,Travel_Frequently,515.00,Research & Development,1.00,2.00,Life Sciences,1.00,73.00,1.00,Female,98.00,3.00,3.00,Research Director,4.00,Single,13458.00,15146.00,1.00,Y,Yes,12.00,3.00,3.00,80.00,0.00,15.00,1.00,3.00,15.00,14.00,8.00,12.00
35.00,No,Travel_Frequently,853.00,Sales,18.00,5.00,Life Sciences,1.00,74.00,2.00,Male,71.00,3.00,3.00,Sales Executive,1.00,Married,9069.00,11031.00,1.00,Y,No,22.00,4.00,4.00,80.00,1.00,9.00,3.00,2.00,9.00,8.00,1.00,8.00
35.00,No,Travel_Rarely,1142.00,Research & Development,23.00,4.00,Medical,1.00,75.00,3.00,Female,30.00,3.00,1.00,Laboratory Technician,1.00,Married,4014.00,16002.00,3.00,Y,Yes,15.00,3.00,3.00,80.00,1.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00
31.00,No,Travel_Rarely,655.00,Research & Development,7.00,4.00,Life Sciences,1.00,76.00,4.00,Male,48.00,3.00,2.00,Laboratory Technician,4.00,Divorced,5915.00,9528.00,3.00,Y,No,22.00,4.00,4.00,80.00,1.00,10.00,3.00,2.00,7.00,7.00,1.00,7.00
37.00,No,Travel_Rarely,1115.00,Research & Development,1.00,4.00,Life Sciences,1.00,77.00,1.00,Male,51.00,2.00,2.00,Manufacturing Director,3.00,Divorced,5993.00,2689.00,1.00,Y,No,18.00,3.00,3.00,80.00,1.00,7.00,2.00,4.00,7.00,5.00,0.00,7.00
32.00,No,Travel_Rarely,427.00,Research & Development,1.00,3.00,Medical,1.00,78.00,1.00,Male,33.00,3.00,2.00,Manufacturing Director,4.00,Married,6162.00,10877.00,1.00,Y,Yes,22.00,4.00,2.00,80.00,1.00,9.00,3.00,3.00,9.00,8.00,7.00,8.00
38.00,No,Travel_Frequently,653.00,Research & Development,29.00,5.00,Life Sciences,1.00,79.00,4.00,Female,50.00,3.00,2.00,Laboratory Technician,4.00,Single,2406.00,5456.00,1.00,Y,No,11.00,3.00,4.00,80.00,0.00,10.00,2.00,3.00,10.00,3.00,9.00,9.00
50.00,No,Travel_Rarely,989.00,Research & Development,7.00,2.00,Medical,1.00,80.00,2.00,Female,43.00,2.00,5.00,Research Director,3.00,Divorced,18740.00,16701.00,5.00,Y,Yes,12.00,3.00,4.00,80.00,1.00,29.00,2.00,2.00,27.00,3.00,13.00,8.00
59.00,No,Travel_Rarely,1435.00,Sales,25.00,3.00,Life Sciences,1.00,81.00,1.00,Female,99.00,3.00,3.00,Sales Executive,1.00,Single,7637.00,2354.00,7.00,Y,No,11.00,3.00,4.00,80.00,0.00,28.00,3.00,2.00,21.00,16.00,7.00,9.00
36.00,No,Travel_Rarely,1223.00,Research & Development,8.00,3.00,Technical Degree,1.00,83.00,3.00,Female,59.00,3.00,3.00,Healthcare Representative,3.00,Divorced,10096.00,8202.00,1.00,Y,No,13.00,3.00,2.00,80.00,3.00,17.00,2.00,3.00,17.00,14.00,12.00,8.00
55.00,No,Travel_Rarely,836.00,Research & Development,8.00,3.00,Medical,1.00,84.00,4.00,Female,33.00,3.00,4.00,Manager,3.00,Divorced,14756.00,19730.00,2.00,Y,Yes,14.00,3.00,3.00,80.00,3.00,21.00,2.00,3.00,5.00,0.00,0.00,2.00
36.00,No,Travel_Frequently,1195.00,Research & Development,11.00,3.00,Life Sciences,1.00,85.00,2.00,Male,95.00,2.00,2.00,Manufacturing Director,2.00,Single,6499.00,22656.00,1.00,Y,No,13.00,3.00,3.00,80.00,0.00,6.00,3.00,3.00,6.00,5.00,0.00,3.00
45.00,No,Travel_Rarely,1339.00,Research & Development,7.00,3.00,Life Sciences,1.00,86.00,2.00,Male,59.00,3.00,3.00,Research Scientist,1.00,Divorced,9724.00,18787.00,2.00,Y,No,17.00,3.00,3.00,80.00,1.00,25.00,2.00,3.00,1.00,0.00,0.00,0.00
35.00,No,Travel_Frequently,664.00,Research & Development,1.00,3.00,Medical,1.00,88.00,2.00,Male,79.00,3.00,1.00,Research Scientist,1.00,Married,2194.00,5868.00,4.00,Y,No,13.00,3.00,4.00,80.00,1.00,5.00,2.00,2.00,3.00,2.00,1.00,2.00
36.00,Yes,Travel_Rarely,318.00,Research & Development,9.00,3.00,Medical,1.00,90.00,4.00,Male,79.00,2.00,1.00,Research Scientist,3.00,Married,3388.00,21777.00,0.00,Y,Yes,17.00,3.00,1.00,80.00,1.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00
59.00,No,Travel_Frequently,1225.00,Sales,1.00,1.00,Life Sciences,1.00,91.00,1.00,Female,57.00,2.00,2.00,Sales Executive,3.00,Single,5473.00,24668.00,7.00,Y,No,11.00,3.00,4.00,80.00,0.00,20.00,2.00,2.00,4.00,3.00,1.00,3.00
29.00,No,Travel_Rarely,1328.00,Research & Development,2.00,3.00,Life Sciences,1.00,94.00,3.00,Male,76.00,3.00,1.00,Research Scientist,2.00,Married,2703.00,4956.00,0.00,Y,No,23.00,4.00,4.00,80.00,1.00,6.00,3.00,3.00,5.00,4.00,0.00,4.00
31.00,No,Travel_Rarely,1082.00,Research & Development,1.00,4.00,Medical,1.00,95.00,3.00,Male,87.00,3.00,1.00,Research Scientist,2.00,Single,2501.00,18775.00,1.00,Y,No,17.00,3.00,2.00,80.00,0.00,1.00,4.00,3.00,1.00,1.00,1.00,0.00
32.00,No,Travel_Rarely,548.00,Research & Development,1.00,3.00,Life Sciences,1.00,96.00,2.00,Male,66.00,3.00,2.00,Research Scientist,2.00,Married,6220.00,7346.00,1.00,Y,No,17.00,3.00,2.00,80.00,2.00,10.00,3.00,3.00,10.00,4.00,0.00,9.00
36.00,No,Travel_Rarely,132.00,Research & Development,6.00,3.00,Life Sciences,1.00,97.00,2.00,Female,55.00,4.00,1.00,Laboratory Technician,4.00,Married,3038.00,22002.00,3.00,Y,No,12.00,3.00,2.00,80.00,0.00,5.00,3.00,3.00,1.00,0.00,0.00,0.00
31.00,No,Travel_Rarely,746.00,Research & Development,8.00,4.00,Life Sciences,1.00,98.00,3.00,Female,61.00,3.00,2.00,Manufacturing Director,4.00,Single,4424.00,20682.00,1.00,Y,No,23.00,4.00,4.00,80.00,0.00,11.00,2.00,3.00,11.00,7.00,1.00,8.00
35.00,No,Travel_Rarely,776.00,Sales,1.00,4.00,Marketing,1.00,100.00,3.00,Male,32.00,2.00,2.00,Sales Executive,1.00,Single,4312.00,23016.00,0.00,Y,No,14.00,3.00,2.00,80.00,0.00,16.00,2.00,3.00,15.00,13.00,2.00,8.00
45.00,No,Travel_Rarely,193.00,Research & Development,6.00,4.00,Other,1.00,101.00,4.00,Male,52.00,3.00,3.00,Research Director,1.00,Married,13245.00,15067.00,4.00,Y,Yes,14.00,3.00,2.00,80.00,0.00,17.00,3.00,4.00,0.00,0.00,0.00,0.00
37.00,No,Travel_Rarely,397.00,Research & Development,7.00,4.00,Medical,1.00,102.00,1.00,Male,30.00,3.00,3.00,Research Director,3.00,Single,13664.00,25258.00,4.00,Y,No,13.00,3.00,1.00,80.00,0.00,16.00,3.00,4.00,5.00,2.00,0.00,2.00
46.00,No,Travel_Rarely,945.00,Human Resources,5.00,2.00,Medical,1.00,103.00,2.00,Male,80.00,3.00,2.00,Human Resources,2.00,Divorced,5021.00,10425.00,8.00,Y,Yes,22.00,4.00,4.00,80.00,1.00,16.00,2.00,3.00,4.00,2.00,0.00,2.00
30.00,No,Travel_Rarely,852.00,Research & Development,1.00,1.00,Life Sciences,1.00,104.00,4.00,Male,55.00,2.00,2.00,Laboratory Technician,4.00,Married,5126.00,15998.00,1.00,Y,Yes,12.00,3.00,3.00,80.00,2.00,10.00,1.00,2.00,10.00,8.00,3.00,0.00
35.00,No,Travel_Rarely,1214.00,Research & Development,1.00,3.00,Medical,1.00,105.00,2.00,Male,30.00,2.00,1.00,Research Scientist,3.00,Single,2859.00,26278.00,1.00,Y,No,18.00,3.00,1.00,80.00,0.00,6.00,3.00,3.00,6.00,4.00,0.00,4.00
55.00,No,Travel_Rarely,111.00,Sales,1.00,2.00,Life Sciences,1.00,106.00,1.00,Male,70.00,3.00,3.00,Sales Executive,4.00,Married,10239.00,18092.00,3.00,Y,No,14.00,3.00,4.00,80.00,1.00,24.00,4.00,3.00,1.00,0.00,1.00,0.00
38.00,No,Non-Travel,573.00,Research & Development,6.00,3.00,Medical,1.00,107.00,2.00,Female,79.00,1.00,2.00,Research Scientist,4.00,Divorced,5329.00,15717.00,7.00,Y,Yes,12.00,3.00,4.00,80.00,3.00,17.00,3.00,3.00,13.00,11.00,1.00,9.00
34.00,No,Travel_Rarely,1153.00,Research & Development,1.00,2.00,Medical,1.00,110.00,1.00,Male,94.00,3.00,2.00,Manufacturing Director,2.00,Married,4325.00,17736.00,1.00,Y,No,15.00,3.00,3.00,80.00,0.00,5.00,2.00,3.00,5.00,2.00,1.00,3.00
56.00,No,Travel_Rarely,1400.00,Research & Development,7.00,3.00,Life Sciences,1.00,112.00,4.00,Male,49.00,1.00,3.00,Manufacturing Director,4.00,Single,7260.00,21698.00,4.00,Y,No,11.00,3.00,1.00,80.00,0.00,37.00,3.00,2.00,6.00,4.00,0.00,2.00
23.00,No,Travel_Rarely,541.00,Sales,2.00,1.00,Technical Degree,1.00,113.00,3.00,Male,62.00,3.00,1.00,Sales Representative,1.00,Divorced,2322.00,9518.00,3.00,Y,No,13.00,3.00,3.00,80.00,1.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00
51.00,No,Travel_Rarely,432.00,Research & Development,9.00,4.00,Life Sciences,1.00,116.00,4.00,Male,96.00,3.00,1.00,Laboratory Technician,4.00,Married,2075.00,18725.00,3.00,Y,No,23.00,4.00,2.00,80.00,2.00,10.00,4.00,3.00,4.00,2.00,0.00,3.00
30.00,No,Travel_Rarely,288.00,Research & Development,2.00,3.00,Life Sciences,1.00,117.00,3.00,Male,99.00,2.00,2.00,Healthcare Representative,4.00,Married,4152.00,15830.00,1.00,Y,No,19.00,3.00,1.00,80.00,3.00,11.00,3.00,3.00,11.00,10.00,10.00,8.00
46.00,Yes,Travel_Rarely,669.00,Sales,9.00,2.00,Medical,1.00,118.00,3.00,Male,64.00,2.00,3.00,Sales Executive,4.00,Single,9619.00,13596.00,1.00,Y,No,16.00,3.00,4.00,80.00,0.00,9.00,3.00,3.00,9.00,8.00,4.00,7.00
